id,text,word,mean,frq,var,victor,stadio88,user,petru,sergiu,majority
5173,"La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.",tonerul,0.55,0.0,0.135,0.0,0.75,0.25,1.0,0.75,complex
5194,"Până în anii 1960, tot mai multe trimiteri poștale erau francate cu masini de francat decât cu timbre adezive tradiționale.",francate,0.7,0.0,0.135,0.25,1.0,0.25,1.0,1.0,complex
5348,"Adaugă un buton la bara de instrumente de editare din editorul de surse, astfel încât este cel mai convenabil pentru paginile de discuții ale utilizatorilor cu legături roșii, dar poate economisi un clic sau două și în alte cazuri, chiar dacă nu este la fel de rapid ca Twinkle.",legături,0.45,4.41,0.135,0.25,1.0,0.25,0.0,0.75,simple
5383,"Ca și în cazul creării de tablouri fără alocare dinamică, programatorul trebuie să inițializeze tabloul cu valori sensibile înainte de a-l utiliza.",tablouri,0.45,4.03,0.135,0.25,0.25,0.75,0.0,1.0,simple
5385,"Ca și în cazul creării de tablouri fără alocare dinamică, programatorul trebuie să inițializeze tabloul cu valori sensibile înainte de a-l utiliza.",tabloul,0.45,4.14,0.135,0.25,0.75,0.25,0.0,1.0,simple
5528,Chitara este un instrument de transpoziție și este notată cu o octavă mai sus decât înălțimea sa reală pentru a evita utilizarea clapei de bas în notația standard.,clapei,0.45,0.0,0.135,0.25,0.25,0.0,0.75,1.0,simple
5335,"În schimb, trece imediat la biții de oprire, ceea ce reprezintă o recunoaștere a faptului că verificarea parității la acest nivel este cu adevărat inutilă.",trece,0.3,5.13,0.13499999999999998,0.25,0.0,0.0,0.25,1.0,simple
5374,"James a fost răsturnat (din punct de vedere tehnic a fost abdicat de Parlament) în Revoluția Glorioasă din 1688, care a avut loc fără vărsare de sânge.",răsturnat,0.3,3.74,0.13499999999999998,0.25,0.0,0.0,0.25,1.0,simple
5324,"În etapa finală, unul dintre hidrogenii moleculei de apă legată este atacat de o altă moleculă de apă, lăsând un alcool.",legată,0.35,4.55,0.11500000000000002,0.0,0.75,0.25,0.0,0.75,simple
5339,"În loc să vă bazați pe faptul că aceștia au shell potrivit, puteți specifica pur și simplu ce shell ar trebui să folosească.",shell,0.65,3.24,0.11500000000000002,0.25,0.75,1.0,0.25,1.0,complex
5564,Mărimea razei de aggro variază uneori în funcție de facțiune și de con și poate fi sferică în anumite medii.,facțiune,0.65,0.0,0.11500000000000002,0.25,0.75,1.0,0.25,1.0,complex
5634,Această transformare apare atunci când o celulă vie nepatogenă preia o bucată de ADN purtătoare a alelei de patogenitate.,nepatogenă,0.65,0.0,0.11500000000000002,1.0,0.25,0.25,0.75,1.0,complex
5256,"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",nedistins,0.35,0.0,0.11499999999999999,0.25,0.25,0.0,0.25,1.0,simple
5479,O astfel de cavitate poate oferi numeroase avantaje funcționale.,cavitate,0.35,0.0,0.11499999999999999,0.25,0.0,0.25,0.25,1.0,simple
5503,"Tabloul clasic Playfair este format din patru alfabete, de obicei în aranjament pătrat, două texte în clar și două texte cifrate.",Tabloul,0.35,4.14,0.11499999999999999,0.0,0.25,0.25,0.25,1.0,simple
5197,Calcularea unor astfel de capacitanțe și exploatarea sau luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.,capacitanțe,0.5,0.0,0.1,0.25,1.0,0.25,0.25,0.75,simple
